Practice name,Practice Code,Practice Population,Lat,Lon,NHSE OC Provider,Manual OC Provider,Most likely OC Provider
CAMBRIDGE HOUSE,M83624,4204,53.0134762202615,-2.12857438242782,Accurx,Accurx,Accurx
PRIMA CARE SURGERIES,M83625,11480,53.0271947884914,-2.17049680041253,Accurx,Accurx,Accurx
APSLEY SURGERY,M83627,8171,53.0358458576643,-2.18611182637935,Accurx,Accurx,Accurx
TRINITY MEDICAL CENTRE,M83632,5407,52.9684084570657,-2.07016273305794,Accurx,Accurx,Accurx
CHADSMOOR MEDICAL PRACTICE,M83637,4924,52.7076352497585,-2.02289824751552,Accurx,Accurx,Accurx
THE COLLIERY PRACTICE,M83638,14071,52.689727856915,-2.02321425074158,eConsult,eConsult,eConsult
ALTON SURGERY,M83640,2721,52.9755804852388,-1.89158968384987,Accurx,Accurx,Accurx
MILL VIEW SURGERY,M83641,1967,52.9508248179482,-1.83695460516259,Accurx,,Accurx
TUNSTALL PRIMARY CARE CENTRE,M83650,13750,53.0581420793743,-2.20594481372136,Accurx,Accurx,Accurx
ADDERLEY GREEN SURGERY,M83661,6873,52.9919916658134,-2.1354408195801,Accurx,Accurx,Accurx
TAMAR MEDICAL CENTRE,M83668,5306,52.5943272678507,-2.20329406057865,eConsult,eConsult,eConsult
KEELE PRACTICE,M83670,6816,53.0030696919822,-2.27371649303384,Patchs,,Patchs
NORTHGATE SURGERY,M83680,7272,52.8989836276794,-1.86689525323125,Accurx,Accurx,Accurx
ALL SAINTS SURGERY,M83681,10985,52.7943007829596,-1.64415901830171,Accurx,Accurx,Accurx
LUCIE WEDGEWOOD SURGERY LTD,M83682,5975,53.0451507138394,-2.19494194158406,Accurx,Accurx,Accurx
BETLEY SURGERY,M83691,546,53.0237489080943,-2.36943643159862,Accurx,,Accurx
TRI-LINKS MEDICAL PRACTICE,M83693,7160,52.634982782244,-1.66362345322669,Accurx,Accurx,Accurx
MILEHOUSE MEDICAL PRACTICE,M83697,3690,53.0216968622569,-2.24115338435359,Accurx; Engage GP,Patchs,Patchs
SOUTHFIELD WAY SURGERY,M83698,3163,52.6583907002012,-2.01873270049245,Accurx,Accurx,Accurx
TALKE PITS CLINIC,M83701,4531,53.0700495415605,-2.25816908599872,Accurx,Accurx,Accurx
BRERETON SURGERY,M83703,5731,52.7466370683354,-1.92394782473668,eConsult,eConsult,eConsult
BADDELEY GREEN SURGERY,M83709,6003,53.0608859746188,-2.13402332010796,Accurx,Accurx,Accurx
TRENTHAM MEWS MEDICAL CENTRE,M83711,4284,52.9705157338276,-2.18977958150235,Accurx,Accurx,Accurx
MEIR MEDICAL PRACTICE,M83713,5460,52.9779306315721,-2.10343383168817,Accurx,Accurx,Accurx
FEATHERSTONE,M83715,4988,52.6457726026936,-2.08956639163157,eConsult,eConsult,eConsult
NORTON CANES SURGERY,M83717,3564,52.6706589146003,-1.96648114375568,eConsult,eConsult,eConsult
PEEL CROFT,M83718,3875,52.7998743890397,-1.63445468241613,Accurx,Accurx,Accurx
RAWNSLEY SURGERY,M83719,4370,52.7079753738227,-1.96994145901622,eConsult,Patchs,Patchs
LOOMER MEDICAL PARTNERSHIP,M83723,23436,53.0359029340278,-2.24831629953443,Accurx,,Accurx
BLURTON MEDICAL PRACTICE,M83725,4092,52.9725694099994,-2.15677233361693,Accurx,Accurx,Accurx
NORTON CANES PRACTICE,M83727,4320,52.6706589146003,-1.96648114375568,eConsult,eConsult,eConsult
AELFGAR SURGERY,M83738,6979,52.7636262581192,-1.93762644624755,Accurx,Accurx,Accurx
RED ROOFS SURGERY,M84001,13217,52.5193281814934,-1.4675125456834,Rapid Health,Rapid Health,Rapid Health
POOL MEDICAL CENTRE,M84002,8323,52.2714451507799,-1.89634496151637,Accurx,Accurx,Accurx
ARBURY MEDICAL CENTRE,M84003,9733,52.5163353677925,-1.49859829544465,Accurx; Rapid Health,Rapid Health,Rapid Health
WHITEHALL MEDICAL PRACTICE,M84004,20960,52.3705865324321,-1.25142175530773,Accurx,Accurx,Accurx
CHAPEL END SURGERY,M84005,5168,52.5373490596923,-1.51751179977687,Rapid Health,,Rapid Health
PEAR TREE SURGERY,M84006,10581,52.5641418308278,-1.67940435568259,Accurx,Accurx,Accurx
DORDON & POLESWORTH GROUP PRACTICE,M84007,13417,52.6031775016287,-1.6136792158542,Rapid Health,Patchs,Patchs
SPRING HILL MEDICAL CENTRE,M84008,7893,52.5103420075981,-1.5853634362502,Accurx; Rapid Health,Accurx,Accurx
FENNY COMPTON SURGERY,M84009,5248,52.170116546532,-1.3889741449982,Accurx,Accurx,Accurx
AVONSIDE HEALTH CENTRE,M84010,10450,52.2892676759794,-1.56059688337057,Accurx,Accurx,Accurx
BEDWORTH HEALTH CENTRE,M84011,21550,52.4786263794655,-1.47265653063116,Rapid Health,Rapid Health,Rapid Health
PARK LEYS MEDICAL PRACTICE,M84012,17219,52.4376308799848,-1.53072930795396,Accurx; Anima,Accurx,Accurx
CASTLE MEDICAL CENTRE,M84013,12838,52.3421661208037,-1.57566599896886,Accurx,Accurx,Accurx
BRIDGE HOUSE MEDICAL CENTRE,M84014,9373,52.1905652429622,-1.71079693863057,Accurx,Accurx,Accurx
CROFT MEDICAL CENTRE,M84015,14592,52.2773834342194,-1.51213247131879,Accurx,Accurx,Accurx
WOLSTON SURGERY,M84016,4552,52.3764370341629,-1.39416708583395,Accurx; Engage GP,Accurx,Accurx
CLARENDON LODGE MEDICAL CENTRE,M84017,14502,52.2940232598222,-1.53172608128981,Rapid Health,Rapid Health,Rapid Health
BIDFORD HEALTH CENTRE,M84018,14336,52.1719688292466,-1.83438104791414,Accurx,Accurx,Accurx
THE ATHERSTONE SURGERY,M84019,17012,52.5784891741647,-1.54236808318871,Rapid Health,Rapid Health,Rapid Health
CLIFTON ROAD SURGERY,M84020,14443,52.3717994564883,-1.25267870732392,Accurx,Accurx,Accurx
ROTHER HOUSE MEDICAL CENTRE,M84021,17069,52.1937280674853,-1.71374619685192,Accurx,Accurx,Accurx
MANOR COURT SURGERY,M84022,8478,52.5270638589755,-1.47857721861156,Accurx; Engage GP; Rapid Health,Rapid Health,Rapid Health
CENTRAL SURGERY,M84023,20145,52.3717428939878,-1.26547339203256,Accurx,Accurx,Accurx
HENLEY-IN-ARDEN MED CTR,M84024,6578,52.2906666184671,-1.77871691539577,Accurx,Accurx,Accurx
SHIPSTON MEDICAL CENTRE,M84025,11961,52.0677774570904,-1.62330229488648,Accurx,Accurx,Accurx
SOUTHAM SURGERY,M84026,7143,52.2515338234673,-1.38538099229569,Accurx,Accurx,Accurx
PRIORY MEDICAL CENTRE,M84028,18889,52.2838718779819,-1.58857039508192,Accurx,Accurx,Accurx
VALLEY ROAD MEDICAL PRACTICE,M84029,8072,52.3058789295789,-1.51853933568662,Accurx,Accurx,Accurx
HASTINGS HOUSE SURGERY,M84030,13296,52.1963219045841,-1.59381401736636,eConsult,eConsult,eConsult
REVEL SURGERY,M84031,7876,52.4124266746726,-1.3620212824618,Accurx,Accurx,Accurx
WATERSIDE MEDICAL CENTRE,M84032,14748,52.2825159385797,-1.53012493156288,Accurx,Accurx,Accurx
WHITESTONE SURGERY,M84034,2218,52.5018516524253,-1.43644850226865,,,Unknown
WESTSIDE MEDICAL CENTRE,M84035,12114,52.3734793958988,-1.26569430607285,Accurx,Accurx,Accurx
ABBEY MEDICAL CENTRE,M84036,15922,52.3432516050851,-1.57734880564044,Accurx,Accurx,Accurx
THE GRANGE MEDICAL CENTRE,M84037,11967,52.5268196664806,-1.45822428779417,Rapid Health,Rapid Health,Rapid Health
SHERBOURNE MEDICAL CENTRE,M84040,10319,52.2927022337862,-1.53300123277109,Accurx,Accurx,Accurx
RIVERSLEY ROAD SURGERY,M84041,7239,52.5193032001434,-1.46795496952207,Rapid Health,Rapid Health,Rapid Health
HAZELWOOD GROUP PRACTICE,M84042,10312,52.4979314729826,-1.70732800762742,Accurx,Accurx,Accurx
TRINITY COURT SURGERY,M84043,21313,52.1948261215368,-1.71273145376465,Accurx,Accurx,Accurx
HARBURY SURGERY,M84044,5744,52.2376222582317,-1.46011077630171,Accurx,Accurx,Accurx
DUNCHURCH SURGERY,M84046,8096,52.3378744958308,-1.29019305927623,Accurx,Accurx,Accurx
TANWORTH-IN-ARDEN MED CTR,M84047,5351,52.3420968719064,-1.84474763328566,Accurx,Accurx,Accurx
ALCESTER HEALTH CENTRE,M84049,6054,52.2174172303691,-1.86314363288149,Accurx,,Accurx
MARKET QUARTER MEDICAL PRACTICE,M84050,8353,52.3777316176546,-1.25407290629392,Accurx,Accurx,Accurx
OLD MILL SURGERY,M84051,13568,52.5188852290623,-1.47501916195424,Accurx; Rapid Health,Accurx,Accurx
STOCKINGFORD MEDICAL CENTRE,M84055,2188,52.5209074544696,-1.49347642682977,Accurx,Accurx,Accurx
SPA MEDICAL CENTRE,M84059,3658,52.2845938966581,-1.52444474143291,Accurx,Accurx,Accurx
THE ARROW SURGERY,M84060,6788,52.2174172303691,-1.86314363288149,Accurx,Accurx,Accurx
BULKINGTON SURGERY,M84061,6209,52.4770376625418,-1.42308748947512,Accurx; Rapid Health,,Unknown
VALE OF RED HORSE,M84062,7568,52.157693309571,-1.51086564198111,Rapid Health,,Rapid Health
CHASE MEADOW HEALTH CENTRE,M84063,7414,52.2689007132459,-1.6093034179896,Accurx,Accurx,Accurx
WHITNASH MEDICAL CENTRE,M84064,6971,52.2625211968685,-1.52577704021321,Accurx,,Accurx
BEECH TREE MEDICAL PRACTICE,M84065,8278,52.3777045031363,-1.25390765567318,Accurx,,Accurx
MEON MEDICAL CENTRE,M84066,7078,52.1195591545607,-1.74216064095736,Accurx,Accurx,Accurx
BENNFIELD SURGERY,M84067,7687,52.3717428666148,-1.26546898597255,Accurx,Accurx,Accurx
BUDBROOKE MEDICAL CENTRE,M84069,6700,52.2830785620425,-1.62244798331666,Accurx,Accurx,Accurx
WARWICK GATES FAM.HTH.CTR,M84070,12549,52.2679709642077,-1.53904047502402,Accurx,Accurx,Accurx
WOODLANDS SURGERY,M84609,4913,52.4794213525355,-1.48994780155653,Anima,,Anima
STATION STREET SURGERY,M84612,9155,52.5767516750242,-1.54876101986792,Accurx; Rapid Health,,Unknown
HARTSHILL HEALTH CENTRE,M84615,8763,52.5407408872627,-1.52197068909573,Accurx,Accurx,Accurx
BROOKSIDE SURGERY,M84616,4451,52.3509406992209,-1.39946320872929,Accurx,Accurx,Accurx
RUGBY ROAD SURGERY,M84618,3927,52.4763503881532,-1.41844324664029,Accurx,,Accurx
LAPWORTH SURGERY,M84620,2968,52.3381501986556,-1.72910061015256,Accurx,Accurx,Accurx
QUEENS ROAD SURGERY,M84621,2737,52.5220843866072,-1.47473049312672,Rapid Health,Rapid Health,Rapid Health
